Ping,RTT (microseconds)
1,570
2,358
3,379
4,393
5,251
6,267
7,213
8,216
9,201
10,218
11,203
12,193
13,201
14,303
15,201
16,198
17,201
18,211
19,262
20,212
21,221
22,197
23,179
24,201
25,282
26,203
27,189
28,198
29,210
30,388
31,237
32,220
33,357
34,224
35,210
36,213
37,214
38,203
39,198
40,229
41,240
42,227
43,217
44,227
45,226
46,220
47,204
48,203
49,519
50,273
51,336
52,340
53,257
54,232
55,217
56,212
57,206
58,205
59,208
60,253
61,223
62,211
63,234
64,234
65,220
66,205
67,224
68,229
69,203
70,211
71,199
72,209
73,208
74,206
75,208
76,201
77,220
78,201
79,222
80,275
81,234
82,209
83,228
84,213
85,275
86,213
87,233
88,358
89,228
90,203
91,208
92,210
93,235
94,208
95,250
96,308
97,456
98,454
99,280
100,225
101,246
102,209
103,2971
104,5500
105,280
106,260
107,263
108,280
109,237
110,210
111,232
112,220
113,237
114,284
115,251
116,211
117,230
118,247
119,224
120,215
121,229
122,236
123,219
124,255
125,223
126,248
127,217
128,218
129,203
130,276
131,252
132,960
133,355
134,402
135,330
136,241
137,204
138,210
139,205
140,196
141,815
142,197
143,189
144,228
145,199
146,221
147,366
148,308
149,1108
150,248
151,246
152,222
153,230
154,232
155,231
156,328
157,216
158,243
159,216
160,206
161,203
162,203
163,195
164,307
165,223
166,206
167,190
168,269
169,225
170,299
171,210
172,217
173,194
174,200
175,257
176,236
177,217
178,208
179,210
180,3945
181,2395
182,390
183,352
184,264
185,250
186,325
187,245
188,238
189,237
190,239
191,241
192,254
193,224
194,221
195,278
196,219
197,617
198,224
199,6038
200,734
201,550
202,453
203,361
204,328
205,228
206,226
207,249
208,201
209,208
210,215
211,214
212,217
213,189
214,230
215,203
216,245
217,211
218,204
219,220
220,253
221,209
222,188
223,232
224,231
225,213
226,215
227,230
228,227
229,220
230,203
231,215
232,210
233,211
234,205
235,251
236,192
237,220
238,219
239,201
240,204
241,223
242,192
243,213
244,210
245,200
246,195
247,215
248,190
249,206
250,230
251,263
252,233
253,242
254,280
255,3018
256,315
257,285
258,301
259,247
260,240
261,3702
262,303
263,286
264,228
265,194
266,2442
267,3938
268,386
269,228
270,232
271,225
272,203
273,199
274,224
275,334
276,307
277,349
278,279
279,214
280,203
281,216
282,217
283,208
284,213
285,189
286,218
287,203
288,226
289,191
290,203
291,224
292,223
293,236
294,197
295,236
296,185
297,213
298,214
299,219
300,194
301,207
302,261
303,207
304,212
305,199
306,209
307,206
308,235
309,211
310,246
311,6412
312,2294
313,270
314,259
315,211
316,234
317,215
318,351
319,334
320,318
321,354
322,331
323,223
324,231
325,216
326,234
327,270
328,238
329,217
330,217
331,229
332,212
333,219
334,230
335,212
336,221
337,212
338,201
339,205
340,198
341,196
342,195
343,198
344,217
345,208
346,198
347,215
348,216
349,212
350,212
351,223
352,209
353,252
354,216
355,246
356,203
357,234
358,202
359,213
360,230
361,205
362,195
363,217
364,203
365,193
366,211
367,202
368,209
