Ping,Handshake Duration (microseconds)
1,1009817
2,212
3,345
4,825
5,305
6,281
7,887
8,255
9,214
10,234
11,525
12,2038826
13,1024408
14,272
15,205
16,1023
17,211
18,768
19,694
20,173
21,811
22,189
23,829
24,186
25,734
26,251
27,770
28,722
29,169
30,188
31,203
32,176
33,215
34,1018154
35,1023616
36,214
37,207
38,187
39,185
40,200
41,193
42,1020277
43,211
44,187
45,1020
46,708
47,175
48,795
49,737
50,716
51,213
52,198
53,179
54,171
55,1048379
56,868
57,228
58,167
59,168
60,184
61,170
62,200
63,1019450
64,444
65,1109
66,184
67,184
68,887
69,197
70,176
71,153
72,197
73,1016545
74,392
75,228
76,200
77,183
78,225
79,585
80,216
81,755
82,474
83,184
84,1017164
85,983
86,1021452
87,178
88,199
89,676
90,206
91,169
92,1017456
93,314
94,274
95,837
96,272
97,280
98,274
99,923
