Ping,RTT (microseconds)
1,579
2,309
3,318
4,257
5,244
6,215
7,Timeout
8,346
9,229
10,210
11,223
12,290
13,377
14,238
15,237
16,Timeout
17,227
18,215
19,246
20,204
21,Timeout
22,236
23,218
24,212
25,205
26,207
27,Timeout
28,297
29,367
30,Timeout
31,230
32,Timeout
33,239
34,205
35,Timeout
36,Timeout
37,3542
38,2216
39,335
40,345
41,321
42,Timeout
43,303
44,382
45,319
46,379
47,332
48,357
49,263
50,230
51,207
52,226
53,211
54,252
55,255
56,239
57,204
58,316
59,220
60,Timeout
61,534
62,382
63,305
64,252
65,1623
66,349
67,233
68,Timeout
69,257
70,Timeout
71,Timeout
72,Timeout
73,598
74,70
75,227
76,306
77,Timeout
78,232
79,250
80,Timeout
81,494
82,419
83,447
84,269
85,276
86,255
87,580
88,235
89,240
90,238
91,215
92,Timeout
93,Timeout
94,230
95,230
96,235
97,235
98,235
99,Timeout
100,Timeout
101,2758
102,361
103,237
104,220
105,205
106,Timeout
107,Timeout
108,288
109,214
110,Timeout
111,304
112,296
113,249
114,261
115,252
116,228
117,220
118,321
119,256
120,Timeout
121,236
122,232
123,Timeout
124,781
125,713
126,440
127,443
128,Timeout
129,223
130,187
131,152
132,277
133,256
134,270
135,236
136,204
137,Timeout
138,238
139,229
140,3682
141,Timeout
142,412
143,273
144,216
145,236
146,212
147,243
148,Timeout
149,216
150,230
151,521
152,1032
153,Timeout
154,486
155,961
156,288
157,301
158,Timeout
159,301
160,2253
161,388
162,346
163,339
164,229
165,267
166,238
167,289
168,214
169,236
170,292
171,232
172,192
173,210
174,196
175,200
176,216
177,206
178,214
179,190
180,220
181,Timeout
182,517
183,Timeout
184,221
185,15
186,204
187,216
188,190
189,198
190,Timeout
191,233
192,212
193,253
194,237
195,252
196,850
197,437
198,211
199,3750
200,633
201,Timeout
202,435
203,1575
204,Timeout
205,Timeout
206,357
207,4538
208,Timeout
209,Timeout
210,328
211,271
212,Timeout
213,231
214,219
215,214
216,216
217,237
218,216
219,395
220,4024
221,310
222,404
223,376
224,923
225,299
226,494
227,246
228,247
229,869
230,258
231,Timeout
232,24
233,390
234,363
235,432
236,3278
237,701
238,301
239,267
240,348
241,Timeout
242,353
243,Timeout
244,Timeout
245,288
246,250
247,2478
248,275
249,Timeout
250,397
251,340
252,Timeout
253,252
254,Timeout
255,Timeout
256,509
257,474
258,361
259,Timeout
260,296
261,271
262,235
263,258
264,216
265,223
266,209
267,207
268,200
269,255
270,207
271,201
272,198
273,Timeout
274,618
275,408
276,Timeout
277,510
278,250
279,209
280,204
281,202
282,Timeout
283,279
284,231
285,238
286,211
287,203
288,3875
289,832
290,703
291,454
292,Timeout
293,296
294,Timeout
295,229
296,421
297,224
298,238
299,1932
300,Timeout
301,416
302,319
303,280
304,257
305,246
306,241
307,Timeout
308,255
309,240
310,229
311,221
312,Timeout
313,611
314,Timeout
315,2763
316,377
317,Timeout
318,427
319,Timeout
320,256
321,234
322,203
323,221
324,198
325,183
326,229
327,223
328,230
329,209
330,220
331,192
332,Timeout
333,Timeout
334,369
335,776
336,353
337,243
338,240
339,228
340,223
341,232
342,Timeout
343,1543
344,337
345,427
346,445
347,364
348,280
349,Timeout
350,574
351,Timeout
352,294
353,212
354,204
355,227
356,210
357,Timeout
358,Timeout
359,392
360,241
361,210
362,228
363,237
364,221
365,202
366,Timeout
367,248
368,210
369,203
370,219
371,Timeout
372,Timeout
373,700
374,534
375,554
376,357
377,Timeout
378,587
379,Timeout
380,2325
381,257
382,205
383,203
384,Timeout
385,332
386,250
387,233
388,210
389,194
390,206
391,210
392,Timeout
393,271
394,243
395,234
396,Timeout
397,788
398,677
399,635
400,361
401,Timeout
402,254
403,212
404,202
405,Timeout
406,255
407,232
408,214
409,210
410,4254
411,Timeout
412,Timeout
413,240
414,323
415,Timeout
416,276
417,407
418,220
419,246
420,3119
421,1786
422,303
423,275
424,310
425,508
426,442
427,336
428,Timeout
429,270
430,268
431,247
432,227
433,225
434,206
435,215
436,214
437,198
438,196
439,Timeout
440,504
441,476
442,264
443,Timeout
444,253
445,339
446,223
447,226
448,202
449,Timeout
450,246
451,232
452,4227
453,365
454,214
455,Timeout
456,Timeout
457,323
458,Timeout
459,Timeout
460,Timeout
461,439
462,223
463,206
464,215
465,Timeout
466,244
467,240
468,230
469,197
470,204
471,220
472,260
473,211
474,229
475,213
476,279
477,4274
478,337
479,369
480,362
481,290
482,Timeout
483,257
484,244
485,Timeout
486,Timeout
487,803
488,586
489,422
490,334
491,282
492,291
493,229
494,243
495,Timeout
496,234
497,222
498,210
499,Timeout
500,217
501,216
502,199
503,Timeout
504,393
505,302
506,Timeout
507,260
508,235
509,224
510,188
511,208
512,213
513,196
514,217
515,242
516,2287
517,946
518,Timeout
519,693
520,354
521,279
522,260
523,262
524,253
525,353
526,Timeout
527,241
528,210
529,227
530,207
531,222
532,205
533,218
534,4185
535,573
536,428
537,278
538,236
539,220
540,Timeout
541,257
542,249
543,189
544,239
545,218
546,212
547,200
548,242
549,218
550,216
551,191
552,187
553,202
554,Timeout
555,364
556,244
557,1489
558,284
559,Timeout
560,2687
561,404
562,489
563,361
564,Timeout
565,529
566,416
567,Timeout
568,290
569,219
570,Timeout
571,Timeout
