Ping,RTT (microseconds)
1,106932
2,103743
3,106430
4,104046
5,105639
6,105572
7,105085
8,107450
9,104866
10,104574
11,105082
12,105955
13,104944
14,106120
15,104481
16,104516
17,104504
18,104607
19,465430
20,104886
21,108647
22,105674
23,104619
24,104682
25,103252
26,105135
27,104913
28,104488
29,105867
30,104627
31,106210
32,106099
33,106565
34,103951
35,104170
36,106009
37,103551
38,106036
39,104890
40,105481
41,104063
42,106044
43,104272
44,104965
45,104580
46,103758
47,106823
48,103773
49,109397
50,105652
51,105194
52,104038
53,104940
54,104901
55,112705
56,106105
57,106548
58,103800
59,104644
60,104158
61,473853
62,103934
63,109642
64,103477
65,105285
66,104415
67,104502
68,104356
69,105220
70,104530
71,105346
72,105031
73,105128
74,103879
75,103218
76,103149
77,105481
78,103891
79,104911
80,105163
81,104060
82,107220
83,104457
84,104735
85,104029
86,105547
87,104752
88,104081
89,104950
90,104276
91,562508
92,103685
93,105185
94,103874
95,103984
96,104752
97,104339
98,104928
99,103898
100,104116
