Ping,RTT (microseconds)
1,105463
2,104126
3,103781
4,105128
5,103617
6,106761
7,105102
8,104495
9,104281
10,105690
11,107574
12,103689
13,105526
14,105699
15,103530
16,106629
17,103430
18,106760
19,105188
20,106449
21,106264
22,105106
23,107143
24,105831
25,105472
26,103350
27,104479
28,104198
29,104102
30,105769
31,103921
32,104684
33,106094
34,104286
35,106298
36,104218
37,106220
38,103751
39,105904
40,104914
41,105047
42,105477
43,103426
44,104659
45,104981
46,105712
47,105502
48,105258
49,105057
50,105631
51,108410
52,106436
53,104172
54,103905
55,105723
56,105886
57,104271
58,105260
59,105790
60,112354
61,104526
62,106086
63,104568
64,104761
65,105891
66,105700
67,103764
68,104522
69,103950
70,104363
71,105998
72,104958
73,105254
74,103876
75,104310
76,103566
77,106864
78,103854
79,105499
80,104598
81,105498
82,103209
83,104812
84,104619
85,106306
86,105056
87,103292
88,104014
89,105320
90,105198
91,105047
92,105879
93,105292
94,104127
95,106299
96,106260
97,103821
98,107014
99,104040
100,108663
