Ping,RTT (microseconds)
1,105107
2,103998
3,106341
4,104168
5,104909
6,104149
7,105236
8,104382
9,104458
10,103987
11,103930
12,105093
13,105343
14,105998
15,105457
16,105307
17,104101
18,106383
19,104436
20,104376
21,105959
22,106161
23,104342
24,105232
25,103053
26,106743
27,104712
28,104741
29,104369
30,105577
31,105352
32,104841
33,104761
34,104633
35,104691
36,104069
37,106884
38,105092
39,106222
40,103724
41,104304
42,106300
43,103911
44,103947
45,104599
46,103421
47,103222
48,103744
49,104809
50,104209
51,104741
52,103914
53,105385
54,105910
55,106709
56,103646
57,103696
58,105212
59,105322
60,104178
61,106325
62,104697
63,105658
64,104840
65,103798
66,105813
67,106213
68,104126
69,107281
70,105326
71,106867
72,105863
73,104709
74,103958
75,106794
76,103210
77,105228
78,103882
79,103613
80,104928
81,104079
82,104813
83,103577
84,104902
85,104952
86,103098
87,106605
88,103767
89,105399
90,104419
91,102931
92,105515
93,103722
94,106120
95,103827
96,104134
97,105912
98,103745
99,104724
100,105980
