Ping,RTT (microseconds)
1,105075
2,103951
3,105008
4,104686
5,106912
6,104786
7,104053
8,105150
9,105003
10,104728
11,3333
12,104117
13,104104
14,103757
15,3348
16,104788
17,105387
18,104200
19,2784
20,104697
21,104188
22,105363
23,106921
24,104942
25,104581
26,3271
27,103800
28,105092
29,508966
30,105078
31,104055
32,105050
33,104906
34,105094
35,3501
36,108694
37,103419
38,104524
39,106024
40,3947
41,105780
42,2851
43,104067
44,111082
45,104023
46,103637
47,3168
48,104521
49,105718
50,105494
51,105839
52,103211
53,3084
54,105566
55,104839
56,106496
57,104069
58,105338
59,3265
60,103994
61,104886
62,103542
63,2781
64,106570
65,3392
66,2954
67,105360
68,103820
69,104857
70,2908
71,106664
72,104782
73,105034
74,2691
75,106024
76,104801
77,105720
78,103904
79,105197
80,3434
81,4017
82,3143
83,104457
84,105328
85,105014
86,105541
87,105379
88,103653
89,104241
90,104306
91,3175
92,104756
93,105975
94,105518
95,3580
96,2838
97,104723
98,104083
99,105181
100,3449
