Ping,RTT (microseconds)
1,103798
2,102792
3,102481
4,104183
5,102817
6,101693
7,103319
8,102099
9,104190
10,102041
11,101864
12,103688
13,103200
14,101534
15,104312
16,102409
17,101811
18,103818
19,102599
20,102365
21,102944
22,102655
23,101933
24,103031
25,102918
26,102608
27,102243
28,103393
29,104234
30,102491
31,102436
32,101965
33,103609
34,102202
35,102982
36,102310
37,103632
38,101447
39,102964
40,103163
41,102754
42,101807
43,112925
44,101999
45,105691
46,102389
47,105735
48,101999
49,102194
50,101466
51,103286
52,102037
53,105058
54,104351
55,102094
56,104423
57,101558
58,103644
59,103102
60,103316
61,101946
62,104408
63,103828
64,102340
65,102533
66,102955
67,102135
68,102981
69,408542
70,103212
71,102759
72,102101
73,102503
74,101790
75,102460
76,102630
77,101685
78,103602
79,102570
80,105854
81,103207
82,101532
83,102742
84,102225
85,102617
86,104310
87,101875
88,102585
89,101703
90,105285
91,103016
92,103287
93,1138805
94,101967
95,102872
96,102384
97,102024
98,108229
99,104236
100,102087
