Ping,RTT (microseconds)
1,105605
2,103902
3,103215
4,103970
5,104937
6,103895
7,104090
8,103318
9,104313
10,103613
11,105423
12,104671
13,109330
14,104243
15,105151
16,105076
17,103652
18,106159
19,103917
20,104795
21,104431
22,104951
23,105371
24,107363
25,103353
26,106058
27,103993
28,104045
29,105050
30,105628
31,104266
32,104948
33,104786
34,105859
35,105226
36,103973
37,104854
38,103793
39,104400
40,105100
41,104993
42,109531
43,104986
44,103844
45,104536
46,103308
47,104573
48,103989
49,104851
50,106127
51,105338
52,105351
53,104138
54,103349
55,104836
56,104403
57,104384
58,104944
59,103577
60,105028
61,105404
62,103185
63,104125
64,105356
65,103776
66,103994
67,103241
68,106381
69,104392
70,105218
71,105722
72,104123
73,106460
74,104712
75,103936
76,103797
77,104042
78,105114
79,103933
80,103804
81,104810
82,104265
83,106298
84,104545
85,105031
86,105117
87,103671
88,104958
89,104451
90,105142
91,104465
92,105213
93,104652
94,104807
95,105350
96,103491
97,105800
98,104045
99,108702
100,106025
