Ping,RTT (microseconds)
1,1308118
2,3312803
3,151290
4,1879699
5,5575795
6,5518166
7,8165956
8,409371
9,1707234
10,265840
11,137358
12,950086
13,1233756
14,982451
15,365564
16,554610
17,153081
18,724322
19,1335711
20,305846
21,1574005
22,1436313
23,3495401
24,1391511
25,122870
26,1326877
27,1271870
28,866040
29,2050569
30,2033052
31,2573728
32,1699476
33,1693153
34,875324
35,2619470
36,2567254
37,793879
38,2797430
39,1283856
40,1284007
41,252867
42,1457337
43,324368
44,996399
45,1807430
46,713473
47,269243
48,226294
49,1313256
50,2341108
51,93027
52,1310714
53,990049
54,1009127
55,159634
56,1794393
57,508860
58,1436840
59,744590
60,1128923
61,923090
62,344850
63,265208
64,1811213
65,212891
66,1017996
67,1018676
68,1366521
69,2100281
70,401173
71,317447
72,1603460
73,932178
74,315486
75,900857
76,1527453
77,1078949
78,1452008
79,558025
80,699473
81,1057627
82,1315414
83,2491422
84,1681223
85,2256957
86,303877
87,1678457
88,307501
89,232438
90,1461102
91,1507805
92,2342034
93,1795311
94,224144
95,1571767
96,149180
97,323464
98,619774
99,1348215
100,132177
