interval_start,interval_end,rtt,rttvar,snd_cwnd
0,1.000812,114499,190,186792
1.000812,2.000775,104628,505,289600
2.000775,3.000411,104228,145,428608
3.000411,4.00208,341878,202,544448
4.00208,5.000287,109616,370,340280
5.000287,6.000702,102900,65,375032
6.000702,7.000226,103179,488,396752
7.000226,8.000386,110095,322,411232
8.000386,9.002199,104325,112,414128
9.002199,10.000561,131744,222,414128
10.000561,11.000507,108399,129,414128
11.000507,12.000953,103314,1001,418472
12.000953,13.000546,115407,413,427160
13.000546,14.000531,241467,1108,441640
14.000531,15.000406,110747,344,483632
15.000406,16.000445,110476,518,382272
16.000445,17.000483,332194,983,418472
17.000483,18.000316,105274,777,460464
18.000316,19.00085,122269,5013,474944
19.00085,20.001474,101677,820,485080
20.001474,21.00021,115303,927,486528
21.00021,22.001007,110463,334,486528
22.001007,23.000245,104245,593,489424
23.000245,24.001016,112354,244,493768
24.001016,25.002129,113016,446,508248
25.002129,26.0004,233296,377,534312
26.0004,27.002576,103783,970,577752
27.002576,28.000494,116195,105,641464
28.000494,29.000926,105670,404,499560
29.000926,30.000548,103304,180,395304
30.000548,31.00207,181847,1459,425712
31.00207,32.000391,113628,995,441640
32.000391,33.000485,103178,468,450328
33.000485,34.000254,106337,182,450328
34.000254,35.002045,131306,259,450328
35.002045,36.000364,104868,487,354760
36.000364,37.001016,102996,3243,398200
37.001016,38.000492,103508,630,425712
38.000492,39.000499,102699,203,441640
39.000499,40.000879,105732,7945,448880
40.000879,41.000609,103945,178,451776
41.000609,42.000326,105808,429,451776
42.000326,43.001182,108207,95,451776
43.001182,44.001521,111516,526,459016
44.001521,45.001004,103277,1447,474944
45.001004,46.00134,266285,2076,487976
46.00134,47.000683,615711,273,511144
47.000683,48.000386,101663,261,719656
48.000386,49.000298,103941,621,379376
49.000298,50.000228,110350,281,408336
50.000228,51.000294,104831,1266,425712
51.000294,52.000502,102854,277,435848
52.000502,53.000227,102813,81,437296
53.000227,54.000517,101430,803,437296
54.000517,55.000338,120375,1529,437296
55.000338,56.000224,102355,302,444536
56.000224,57.00048,121955,1817,456120
57.00048,58.000102,104231,1187,482184
58.000102,59.000226,103594,1673,519832
59.000226,60.000524,114198,1217,580648
0,60.000524,132689,,719656
